-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
alias|alternate name for a construct, such as a class, responsibility, entity, or domain|ISO/IEC/IEEE 24765l:2024
aligned|group agreement and alliance to one or more shared objectives (IEEE 2675-2021, IEEE Standard for DevOps: Building Reliable and Secure Systems Including Application Build, Package, and Deployment, 3.1)|
allocated baseline|approved requirements for a product, subsystem or component, describing the functional, performance, interoperability, and interface requirements that are allocated from higher-level requirements and the verifications required to demonstrate achievement of those requirements, as established at a specific point in time and documented in the allocated configuration documentation (ISO/IEC/IEEE 24748-7:2019, Systems and software|
allocated configuration identification|in configuration management, the current approved specifications governing the development of configuration items that are part of a higher-level configuration item (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
allocated requirement|requirement that levies all or part of the performance and functionality of a higher-level requirement on a lower-level architectural element or design component|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
allocation|distribution of requirements, resources, or other entities among the components of a system or program|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
allocation|result of the distribution of requirements, resources, or other entities among the components of a system or program (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
allocation of an entitlement|process of assigning some or all of a given entitlement to a subsidiary or other associated organizational unit which manages its own entitlement schema library (ISO/IEC 19770-3:2016 Information technology--IT asset management--Part 3: Entitlement schema, 3.1.1)|
ALM|application life cycle management|IEEE 2675-2021, IEEE Standard for DevOps: Building Reliable and Secure Systems Including Application Build, Package, and Deployment, 3.2
alpha testing|first stage of testing before a product is considered ready for commercial or operational use (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
alphanumeric|pertaining to data that consists of letters, digits, and usually other characters, such as punctuation marks, as well as to processes and functional units that use the data|ISO/IEC 2382:2015 Information technology -- Vocabulary
ALS|Application Layer Structure|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
alternate flow|part of a use case that describes its alternative implementations (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
alternate key|candidate key of an entity other than the primary key (ISO/IEC/IEEE 24765n:2025, 3.1.5)|
alternatives analysis|method used to evaluate identified options in order to select the options or approaches to|
ambiguity|state of being unclear, having difficulty in identifying the cause of events, or having multiple options from which to choose (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
analog|pertaining to continuously variable physical quantities or to data presented in a continuous form, as well as to processes and functional units that use the data|ISO/IEC 2382:2015 Information technology -- Vocabulary
analog computer|computer whose operations are analogous to the behavior of another system and that accepts, processes, and produces analog data|ISO/IEC 2382:2015 Information technology -- Vocabulary
analogous estimating|a technique for estimating the duration or cost of an activity or a project using historical data from a similar activity or project (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
analysis|process of studying a system by partitioning the system into parts (functions, components, or objects) and determining how the parts relate to each other|ISO/IEC/IEEE 24765e:2015
analysis|investigation and collection phase of development that aims to specify types of users and their information needs (ISO/IEC/IEEE 26512:2018 Systems and software engineering--Requirements for acquirers and suppliers of information for users, 4.2)|
analyst|member of the technical community who is skilled and trained to define problems and to analyze, develop, and express algorithms|ISO/IEC/IEEE 24765e:2015
analytic hierarchy process (AHP)|use of matrixes to manage pair-wise relationships in decision-making (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
analytical model|model that describes mathematical relationships, such as differential equations that support quantifiable analysis about the system parameters (ISO/IEC/IEEE 24641:2023. Systems and Software engineering-- Methods and tools for model-based systems and software engineering, 3.1.1)|
analyzability|capability of a product to be effectively and efficiently assessed regarding the impact of an intended change to one or more of its parts, to diagnose it for deficiencies or causes of failures, or to identify parts to be modified (ISO/IEC 25010:2023, Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--Product quality model, 3.7.3)|
analyzability|degree of effectiveness and efficiency with which an IT service can be analyzed for deficiencies, gaps, and failures (ISO/IEC TS 25011:2017 Information technology--Systems and software Quality Requirements and Evaluation (SQuaRE)--Service quality models, 3.2.8.1)|
ancestor (of a class)|generic ancestor of the class or a parent of the class or an ancestor of a parent of the class (ISO/IEC/IEEE 24765n:2025, 3.1.6)|
ancestral box|box related to a specific diagram by a hierarchically consecutive sequence of one or more parent/child relationships|ISO/IEC/IEEE 24765m:2024, 2.1.6
ancestral diagram|diagram that contains an ancestral box|ISO/IEC/IEEE 24765m:2024, 2.1.7
anchor point|a milestone in software scheduling at which a major project life cycle transition occurs (Software|
annotate|command used for listing the latest version of each program's source code line, along with the date, the file version it was introduced, and the person who committed it|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
annotated topic list (ATL)|list of all topics to be included in an information-development project with annotations that can include writer, where used, file name, and additional data|ISO/IEC/IEEE 26511:2018 Systems and software engineering--Requirements for managers of information for users of systems, software, and services, 3.1.2
